game_id,season,week,kickoff,margin_prediction,margin_actual,total_prediction,total_actual,margin_lower,margin_upper,margin_covered,total_lower,total_upper,total_covered
2023_02_WAS_DEN,2023,2,2023-09-17T16:25-04:00,3.191263087721218,-2.0,38.529411764705884,68.0,-13.500069467481726,19.882595642924162,True,20.400560224089638,56.65826330532213,False
2023_02_MIA_NE,2023,2,2023-09-17T20:20-04:00,0.4297452102944215,-7.0,44.82843137254902,41.0,-16.261587344908524,17.121077765497365,True,26.699579831932773,62.957282913165265,True
2023_02_NO_CAR,2023,2,2023-09-18T19:15-04:00,-0.929596691067486,-3.0,41.05882352941176,37.0,-17.62092924627043,15.761735864135458,True,22.929971988795515,59.18767507002801,True
2023_02_CLE_PIT,2023,2,2023-09-18T20:15-04:00,0.30765845481250537,4.0,41.05882352941176,48.0,-16.38367410039044,16.998991010015448,True,22.929971988795515,59.18767507002801,True
2023_03_NYG_SF,2023,3,2023-09-21T20:15-04:00,8.999745268575548,18.0,43.5,42.0,-7.691587286627396,25.691077823778492,True,25.371148459383754,61.628851540616246,True
2023_03_ATL_DET,2023,3,2023-09-24T13:00-04:00,2.784358742159452,14.0,47.970588235294116,26.0,-13.906973813043493,19.475691297362395,True,29.84173669467787,66.09943977591035,False
2023_03_BUF_WAS,2023,3,2023-09-24T13:00-04:00,-4.86506017550416,-34.0,42.94607843137255,40.0,-21.556392730707103,11.826272379698784,False,24.817226890756302,61.074929971988794,True
2023_03_DEN_MIA,2023,3,2023-09-24T13:00-04:00,6.26922723846216,50.0,42.91666666666667,90.0,-10.422105316740783,22.960559793665105,False,24.787815126050425,61.04551820728292,False
2023_03_HOU_JAX,2023,3,2023-09-24T13:00-04:00,7.044806135428468,-20.0,43.537151702786375,54.0,-9.646526419774476,23.736138690631414,False,25.40830016217013,61.66600324340262,True
2023_03_IND_BAL,2023,3,2023-09-24T13:00-04:00,7.166385936949407,-3.0,40.669934640522875,41.0,-9.524946618253537,23.85771849215235,True,22.54108309990663,58.79878618113912,True
2023_03_LAC_MIN,2023,3,2023-09-24T13:00-04:00,-1.4136928915453217,-4.0,48.388888888888886,52.0,-18.105025446748265,15.277639663657622,True,30.26003734827264,66.51774042950512,True
2023_03_NE_NYJ,2023,3,2023-09-24T13:00-04:00,-2.381947328292864,-5.0,38.91176470588235,25.0,-19.073279883495807,14.30938522691008,True,20.782913165266102,57.040616246498594,True
2023_03_NO_GB,2023,3,2023-09-24T13:00-04:00,4.564453095650345,1.0,41.64705882352941,35.0,-12.1268794595526,21.25578565085329,True,23.518207282913167,59.77591036414566,True
2023_03_TEN_CLE,2023,3,2023-09-24T13:00-04:00,2.615904213734688,24.0,41.14705882352941,30.0,-14.075428341468257,19.30723676893763,False,23.018207282913167,59.27591036414566,True
2023_03_CAR_SEA,2023,3,2023-09-24T16:05-04:00,3.959365125617695,10.0,45.4281045751634,64.0,-12.73196742958525,20.650697680820638,True,27.299253034547156,63.55695611577965,False
2023_03_CHI_KC,2023,3,2023-09-24T16:25-04:00,16.81456340252383,31.0,48.90588235294118,51.0,0.12323084732088674,33.50589595772678,True,30.77703081232493,67.03473389355742,True
2023_03_DAL_ARI,2023,3,2023-09-24T16:25-04:00,-8.065400886000102,12.0,46.4953560371517,44.0,-24.756733441203046,8.625931669202842,False,28.366504496535455,64.62420757776795,True
